,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq
46,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.5,0.5,6.801233789130784,0.6376649297919367
47,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.0,0.5,6.574821199209126,0.6328699832011686
48,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-0.5,0.5,6.430605040431843,0.6303993339808733
49,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.0,0.5,6.182235235538734,0.6287418760829118
50,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.5,0.5,6.118945977402362,0.638075143877369
51,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.0,0.5,6.161098466136032,0.6500429514568691
52,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.5,0.5,6.398524133827642,0.6615168006368808
53,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.0,0.5,6.396351421249008,0.6650958718419231
54,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.5,0.5,6.629143376977034,0.6674515445989001
55,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.5,0.0,5.019357308766395,0.6098253200831445
56,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.0,0.0,4.437380933635701,0.6031859629167302
57,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.5,0.0,3.909888015527578,0.59264985371911
58,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.0,0.0,3.396371450317197,0.5798790837853245
59,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-0.5,0.0,3.0875175307149334,0.5690438516170575
60,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.0,0.0,2.7996944787891636,0.5678600541650761
61,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.5,0.0,2.8165866839844043,0.5789149438900903
62,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.0,0.0,3.042046810546566,0.5949311437468642
63,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.5,0.0,3.519776748303947,0.6134069338415304
64,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.0,0.0,3.8632779813601985,0.6235654012804386
65,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.5,0.0,4.33897140267198,0.637344698316456
66,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.5,-0.5,2.7702945856403502,0.5778115494759871
67,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.0,-0.5,1.8862656220981862,0.5650052721894835
68,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.5,-0.5,0.9321779506084766,0.5458780321841145
69,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.0,-0.5,0.05854223928098179,0.5210772519300159
70,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-0.5,-0.5,-0.5593938039868291,0.5002993788064558
71,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.0,-0.5,-0.9405016301811884,0.49300598566175596
72,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.5,-0.5,-0.7706530695471159,0.5028433839790187
73,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.0,-0.5,-0.25049728279140027,0.529408218480217
74,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.5,-0.5,0.5949161808649706,0.5597303452151751
75,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.0,-0.5,1.3582097189967257,0.5789287469141708
76,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.5,-0.5,2.1207748279445795,0.5967125064484933
77,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.5,-1.0,0.7960057341371396,0.5465928388026405
78,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.0,-1.0,-0.4905616642103965,0.5236733733852257
79,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.5,-1.0,-1.9464479540377653,0.5004190715303798
80,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.0,-1.0,-3.6037171009759277,0.46562810421592093
81,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-0.5,-1.0,-4.88133258716541,0.42418906919518873
82,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.0,-1.0,-5.549175795483894,0.40671683264320063
83,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.5,-1.0,-5.054562231168582,0.4315933739656719
84,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.0,-1.0,-3.84034958488801,0.474308023715457
85,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.5,-1.0,-2.2655707153478986,0.5163433968125677
86,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.0,-1.0,-0.8694409300894961,0.5449691959571142
87,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.5,-1.0,0.21397060970355142,0.5629602749157585
88,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.5,-1.5,-0.9228076678528083,0.5127312824708804
89,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.0,-1.5,-2.6221934636532183,0.49002536477943065
90,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.5,-1.5,-4.704720650806358,0.458411350101576
91,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.0,-1.5,-7.337719731223718,0.4136339035801911
92,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-0.5,-1.5,-7.491227022307722,0.396938712017056
93,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.0,-1.5,-6.579475740619149,0.38782755024267374
94,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.5,-1.5,-7.662872839565015,0.4034908223146192
95,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.0,-1.5,-7.5059776238812645,0.41758000025940506
96,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.5,-1.5,-4.798857453589086,0.46856470092478436
97,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.0,-1.5,-2.8395542566673484,0.5030467072899507
98,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.5,-1.5,-1.3204678161473993,0.5302313550503582
99,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.5,-2.0,-2.0198362382946016,0.48421964870978496
100,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.0,-2.0,-3.9362902598742835,0.45664999736431894
101,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.5,-2.0,-6.372012953405928,0.41791944294174915
102,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.0,-2.0,-9.852956699787036,0.36438111940507156
103,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-0.5,-2.0,-9.76145212897175,0.36728669791615737
104,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.0,-2.0,-7.89893295017961,0.3578098317152633
105,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.5,-2.0,-9.763558025701528,0.3671485755110205
106,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.0,-2.0,-9.89442681194388,0.36741952616805423
107,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.5,-2.0,-6.373445998348139,0.4268914238341073
108,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.0,-2.0,-4.054305066717156,0.47116041199424896
109,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.5,-2.0,-2.3513409987706453,0.49635479829300155
110,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.5,-2.5,-2.599683142338449,0.47452304728833755
111,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.0,-2.5,-4.441730103252269,0.4505605234342546
112,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.5,-2.5,-6.628422577639938,0.4247323938063444
113,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.0,-2.5,-9.487487260069631,0.3769072470290632
114,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-0.5,-2.5,-10.058791311309161,0.36000474190199494
115,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.0,-2.5,-8.713103214907846,0.3449310689573809
116,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.5,-2.5,-10.048720377594982,0.3598039798646754
117,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.0,-2.5,-9.495532582297042,0.37925047559189456
118,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.5,-2.5,-6.6550510647940015,0.43188186231631565
119,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.0,-2.5,-4.534145835086825,0.46876378869674923
120,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.5,-2.5,-2.9108131138980724,0.49305613195832176
