,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq,ssr
0,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",0,-1,2,13.923955055012676,0.7476311565173615,53.6492811128156
1,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",5,-1,2,14.196693241567669,0.7497340451443248,53.93136802582566
2,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",10,-1,2,14.356955413880474,0.7505059200467902,54.12909911115196
3,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",15,-1,2,14.673714922218263,0.752017568977019,53.98476081232664
4,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",20,-1,2,14.909128473316681,0.7510674627061119,53.785059124713044
5,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",25,-1,2,15.08531458311656,0.7482780818903636,53.45845781959625
6,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",30,-1,2,15.284356932987894,0.7412638224625248,53.395123970803986
7,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",35,-1,2,15.481205184059217,0.7357357199510056,53.07899538041438
8,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",40,-1,2,15.645626944573408,0.7286529816569534,53.04249655329605
9,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",45,-1,2,15.716505188772889,0.7238674981141526,53.128244887604346
10,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",50,-1,2,15.774533471295086,0.7182723294526341,53.1337339978655
11,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",55,-1,2,15.663165245722919,0.715026040236249,52.52657043242933
12,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",60,-1,2,15.65397258210145,0.7133956452286888,52.70643667379366
13,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",65,-1,2,15.639913043881897,0.7104907931506457,52.69322433442558
14,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",70,-1,2,15.56413083552842,0.7063132201219,52.58090900657525
15,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",75,-1,2,15.526201306950053,0.7060881903438452,52.444486874012966
16,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",80,-1,2,15.428536392378167,0.705460998196902,52.316041109532804
17,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",85,-1,2,15.277975022830535,0.7047216554747054,52.37102660519851
18,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",90,-1,2,15.08120394905492,0.7041353095413333,52.33982718563667
19,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",95,-1,2,14.848971372693434,0.7028240340033973,52.21771300327673
20,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",100,-1,2,14.577936444482134,0.7061977202680814,52.155002597257564
21,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",105,-1,2,14.245290484453143,0.7102085034562778,52.23023069530675
22,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",110,-1,2,13.951392879868571,0.716592614826859,52.29020752174598
23,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",115,-1,2,13.683579717660084,0.7139741985060327,52.37966690510606
24,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",120,-1,2,13.487376665998827,0.7099885107733275,52.43531924789335
25,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",125,-1,2,13.211916007277946,0.708309820511316,52.18017869509843
26,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",130,-1,2,13.061274000298422,0.7069318567622054,52.187692676696685
27,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",135,-1,2,12.900012229779485,0.7050419707291954,51.93962435106244
28,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",140,-1,2,12.76911849025834,0.6978164374148272,51.94888296427006
29,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",145,-1,2,12.68170720383058,0.6929905120667416,51.64759302865245
30,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",150,-1,2,12.606182777955372,0.6977628899565748,51.519692622624476
31,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",155,-1,2,12.559321409587778,0.6991235692883815,51.52112572913555
32,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",160,-1,2,12.55683265532788,0.7076645218052157,51.53206714967303
33,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",165,-1,2,12.632603700745541,0.7120360374856927,51.73248673864514
34,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",170,-1,2,12.722513478277897,0.7127589136320339,52.50184692764431
35,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",175,-1,2,12.8251766888182,0.7142603549722438,53.277449024565485
36,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",180,-1,2,12.92787252621909,0.7195694020839571,53.27583622109681
37,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",185,-1,2,13.09823039724601,0.7206961592740461,53.380919041629895
38,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",190,-1,2,13.307615497337995,0.7206418278228374,53.60023267136016
39,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",195,-1,2,13.523496397693187,0.7236257748960214,53.654513152791225
40,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",200,-1,2,13.739122527976718,0.7254354520871064,53.62498916839938
41,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",205,-1,2,13.966391683829656,0.7231247268125659,53.66383983557184
42,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",210,-1,2,14.210850739675681,0.7220954929764617,53.634991081091044
43,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",215,-1,2,14.522959948814858,0.7201805108646385,53.30995001433935
44,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",220,-1,2,14.783581267496771,0.7176553511164157,53.25775009039446
45,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",225,-1,2,14.99832199517251,0.7128926353238239,53.30449260185826
46,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",230,-1,2,15.241119190089083,0.7067542826484162,53.05729647705141
47,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",235,-1,2,15.208541092905424,0.7000918235703112,52.68763583281104
48,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",240,-1,2,15.417723959000568,0.7021950437794695,52.37171868754646
49,Skelpolu - Together Alone,HRIR,rotational,"(2, 0)",245,-1,2,15.356922054539417,0.7003185164500609,52.3651700328038
