,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq,ssr
41,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.5,1.0,9.386835385461694,0.5848708711001845,44.92795030519793
42,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.0,1.0,9.510697483461115,0.587303144901766,44.905274454520296
43,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.5,1.0,9.32767493448776,0.5771073893381727,43.462188711200476
44,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.5,0.5,7.467568039666567,0.537846133850771,43.38161072866796
45,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.0,0.5,7.340428989931382,0.5405716037539523,43.743164804865344
46,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.5,0.5,7.121728053181073,0.5381724465362814,42.397320500530114
47,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.0,0.5,6.821876618246186,0.5335058456032953,43.68225421090887
48,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-0.5,0.5,6.594156605565331,0.5243689782956098,45.32992675296043
49,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.0,0.5,6.482446795302636,0.5207656029001941,44.98912403274102
50,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.5,0.5,6.325373823322607,0.522200896798661,43.70067249515577
51,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.0,0.5,6.16371116724568,0.5304450656072807,40.40737936613327
52,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.5,0.5,6.5190602866688465,0.5351792165600365,44.103170998878255
53,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.0,0.5,6.811502013211609,0.5408042733425525,41.62350425669143
54,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.5,0.5,7.046390667024305,0.5406446677124306,40.50221159342297
55,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.5,0.0,5.249637716638787,0.5088525940450059,44.35381246289623
56,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.0,0.0,4.834040643507514,0.5025297075738574,42.70884788130543
57,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.5,0.0,4.284197484006086,0.4913983319793271,39.599649269445635
58,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.0,0.0,3.745918530585648,0.4772587814702097,38.64030899846531
59,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-0.5,0.0,3.2917395925223616,0.4642854295683421,36.69221127612566
60,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.0,0.0,3.0699105672335136,0.45742762759260597,37.937645524236224
61,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.5,0.0,3.0521480666964322,0.46285488191510843,44.947343315679895
62,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.0,0.0,3.1521911567221537,0.47318051695942304,43.7938160480305
63,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.5,0.0,3.6110879190916165,0.49058444135174656,39.15079452530578
64,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.0,0.0,4.258972988425384,0.5030532865746801,41.584381035483986
65,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.5,0.0,4.762465806612141,0.5110473617609324,42.056161702553254
66,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.5,-0.5,3.1420719035578415,0.478285323738702,35.675679403977256
67,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.0,-0.5,2.301225457710096,0.4637532812096606,35.728474525653326
68,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.5,-0.5,1.4304769719010366,0.44815715575780846,36.25536734472015
69,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.0,-0.5,0.5015979574452274,0.4281985363976508,36.32214954117202
70,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-0.5,-0.5,-0.2974478605174937,0.4022725816976812,33.99547325055714
71,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.0,-0.5,-0.6939813057326418,0.39032769150517405,34.44137238555244
72,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.5,-0.5,-0.5407353275026878,0.40291751720179186,38.81751883953047
73,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.0,-0.5,-0.02044382426932856,0.4238242193287103,34.614069467692936
74,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.5,-0.5,0.7550785658186356,0.4441143332652574,36.04008839047507
75,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.0,-0.5,1.6843828933887295,0.4637363621362933,38.364371895123654
76,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.5,-0.5,2.613181644228341,0.4806422602278681,39.78950802882477
77,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.5,-1.0,1.0834135136146017,0.45497349766614914,38.78910758132909
78,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.0,-1.0,-0.09993894511159596,0.4320775073389664,40.26707048235988
79,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.5,-1.0,-1.5553730361571638,0.4086511176851444,35.40781735355087
80,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.0,-1.0,-2.9901460282058068,0.37524160417841657,31.261459613151867
81,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-0.5,-1.0,-4.489657310926454,0.34065261310628075,31.35283447874212
82,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.0,-1.0,-5.324242072060251,0.32054015686588117,35.95591764604732
83,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.5,-1.0,-4.739462923407359,0.34396845278284144,37.68283737108335
84,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.0,-1.0,-3.565642736965593,0.37417694044196775,34.30464741231508
85,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.5,-1.0,-2.116357822093917,0.40663185560959136,36.31880847477439
86,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.0,-1.0,-0.6608974643834244,0.4376867723958526,36.42900821433343
87,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.5,-1.0,0.621419292636368,0.45753695136010575,35.892039654535694
88,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.5,-1.5,-0.693849178495114,0.42484133936616497,35.518108946917465
89,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.0,-1.5,-2.3168434178316275,0.4028005280460965,35.59043224752709
90,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.5,-1.5,-4.316365345910128,0.3740569139865417,30.688206405000685
91,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.0,-1.5,-6.789802898361891,0.3357636287004468,29.525824378057536
92,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-0.5,-1.5,-6.915324638030121,0.318218778251172,28.9612146336056
93,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.0,-1.5,-6.350049869038802,0.3074294234734594,30.129820440261923
94,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.5,-1.5,-7.2128146348467155,0.31814384892597486,31.11452246584399
95,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.0,-1.5,-7.240533514112737,0.3327935085998948,28.907302323146208
96,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.5,-1.5,-4.754183582778872,0.37082221596214815,30.669966858420217
97,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.0,-1.5,-2.814253489710019,0.3996002502579282,36.19943768157772
98,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.5,-1.5,-1.1628096369401604,0.42612509586724745,37.29047700423326
99,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.5,-2.0,-1.952030785443327,0.4041333806128142,32.75849225032843
100,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.0,-2.0,-3.7660135343582084,0.37796979918877466,32.882178704413214
101,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.5,-2.0,-6.153397696105969,0.3495596022848814,28.728461308429004
102,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.0,-2.0,-9.573552635102203,0.300423137862231,25.65094056244672
103,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-0.5,-2.0,-9.542597439354825,0.29912634320766407,28.53936614471162
104,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.0,-2.0,-8.19509913075214,0.28722124390367987,30.86535808240488
105,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.5,-2.0,-9.640104145215062,0.2976281248062576,29.65708453968805
106,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.0,-2.0,-9.901789657183176,0.2945988464821041,30.49865821856868
107,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.5,-2.0,-6.542279756321449,0.3406886954832049,30.59255748102188
108,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.0,-2.0,-4.209543735469396,0.37279455950395834,34.19423225118787
109,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.5,-2.0,-2.3602436825022437,0.39955597704965307,34.468356108944576
110,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.5,-2.5,-2.6163617253113074,0.3940724224216978,33.629744732141035
111,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.0,-2.5,-4.384833287709078,0.37545266490125434,31.96915353675132
112,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.5,-2.5,-6.578960809876399,0.34973752971542793,32.50098476104602
113,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.0,-2.5,-9.493698487777081,0.30751142387158953,31.58228592595893
114,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-0.5,-2.5,-10.521730251750554,0.2871611811139736,27.107515990829086
115,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.0,-2.5,-9.029375071156856,0.2739324745745563,32.00689832350264
116,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.5,-2.5,-10.629941212124766,0.28497704879968455,30.207271561150506
117,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.0,-2.5,-9.885150687845538,0.3019470397739752,28.766311468800872
118,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.5,-2.5,-7.024719820049889,0.3417192399785571,35.30455017334947
119,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.0,-2.5,-4.864747044568276,0.37171368627243756,33.34949111283631
120,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.5,-2.5,-3.104512142303939,0.39384903411420435,36.28612591800432
