,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq,ssr
0,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-2.5,2.5,15.139842518224057,0.768695582909337,54.50978168375424
1,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-2.0,2.5,15.586545850198707,0.7811713887411047,56.22643656078652
2,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-1.5,2.5,15.763373506383477,0.7980944316418694,58.94472463013632
3,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-1.0,2.5,15.971635072636143,0.7987340991235045,58.404452313712376
4,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-0.5,2.5,15.746136561755922,0.7980751658266122,59.6372912363502
5,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,0.0,2.5,15.086019385008246,0.7893401468422429,52.627706447649544
6,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,0.5,2.5,14.430046547643737,0.785042496600695,52.735039315220185
7,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,1.0,2.5,13.890679905652188,0.7661167541190366,48.536833428031876
8,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,1.5,2.5,12.717855332092224,0.7271729051867069,51.1120414213562
9,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,2.0,2.5,11.76902966483497,0.6853442844243535,47.29032514915392
10,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,2.5,2.5,10.737365184294102,0.6652361784053811,49.594292818560355
11,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-2.5,2.0,12.901207532440448,0.743994979964482,55.05497306479272
12,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-2.0,2.0,13.746948148345396,0.7656302356384493,58.12037727999933
13,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-1.5,2.0,13.964159695666321,0.7758851338785521,56.866750160092636
14,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-1.0,2.0,13.865655433563827,0.7720031531801528,60.14415156590235
15,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-0.5,2.0,13.25672208821177,0.7673278098047595,54.71818437826924
16,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,0.0,2.0,12.414141459407777,0.756230592952267,51.724657385492996
17,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,0.5,2.0,11.381746067784892,0.7466728283527412,51.258713164347604
18,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,1.0,2.0,10.635373791415617,0.7263122023875547,48.92224181848518
19,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,1.5,2.0,9.73573658233796,0.6952083388173051,50.33851141745543
20,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,2.0,2.0,8.572258001627201,0.6484620247966293,42.557245752836835
21,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,2.5,2.0,7.087728771616952,0.6186097459889084,44.038870700764086
22,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-2.5,1.5,10.757688135705521,0.7239344320958346,51.547448554167474
23,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-2.0,1.5,10.956774817116873,0.733599122305406,50.78434032040001
24,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-1.5,1.5,10.731300774203646,0.7353395721422017,51.79776018035227
25,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-1.0,1.5,10.368625232502993,0.7344930593687811,52.53315482432319
26,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,-0.5,1.5,9.561163747564361,0.7261568097350056,52.56832754847191
27,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,0.0,1.5,8.301505257724276,0.7044280516604985,47.14053383371761
28,Juliet's Rescue - Heartbeats,HRIR,translational,"(2, 0)",0,0.5,1.5,7.08399049998004,0.6825191633492331,52.79454403808893
