,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq
52,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",260,1,2,13.976895128605094,0.6327300787005539
53,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",265,1,2,14.037960751288391,0.627122170471101
54,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",270,1,2,14.162400305498679,0.6284806831855924
55,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",275,1,2,14.286061058897761,0.6322929941653864
56,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",280,1,2,14.450208188389503,0.6395891159443243
57,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",285,1,2,14.632815125970527,0.640067246876904
58,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",290,1,2,14.785738005901177,0.6433653024048067
59,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",295,1,2,14.958502677640539,0.6495176535029996
60,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",300,1,2,15.12155486648101,0.6563631822050774
61,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",305,1,2,15.326474513289472,0.6627172224701435
62,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",310,1,2,15.4347719840132,0.6637502464656018
63,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",315,1,2,15.560264531299033,0.6654367172101278
64,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",320,1,2,15.579970709347077,0.6697287981770536
65,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",325,1,2,15.62604729570928,0.6767599516971655
66,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",330,1,2,15.659710152310875,0.6788732105534726
67,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",335,1,2,15.57147850984568,0.6767880915664022
68,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",340,1,2,15.57683913605506,0.6818148319378387
69,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",345,1,2,15.517279394873817,0.6852525518296126
70,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",350,1,2,15.457825315190792,0.6876924622588175
71,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",355,1,2,15.343411393725525,0.6872116758681589
