,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq,ssr,ms,smr,lri
30,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,1.5,1.5,12.568789193289366,0.704470366084805,52.273164183435,8.419591797190165,-7.665402,0.14575495
31,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,2.0,1.5,12.263357302429558,0.6728662102507159,49.61167957801355,8.281427411542241,-5.6259947,0.25894466
32,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,2.5,1.5,11.328861476662851,0.6365403394655877,49.36711048948954,8.170555577351074,-4.4508424,0.30618292
33,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-2.5,1.0,8.61701642660364,0.5785877756131244,41.750249770477794,9.235243192421127,-5.2623196,-0.27408972
34,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-2.0,1.0,9.448759986832112,0.6100346794631745,46.09861486824265,8.956170588112487,-6.365732,-0.23830898
35,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-1.5,1.0,10.32889043969282,0.6433012830918675,47.68382040549756,8.560916862513444,-7.302,-0.20174344
36,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-1.0,1.0,9.740873937726391,0.6170431260293286,46.044605511811326,8.723801388050559,-8.29995,-0.14526482
37,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-0.5,1.0,9.189492723716992,0.5984184843657396,48.97558826106393,9.019141505660256,-9.366141,-0.0901921
38,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,0.0,1.0,8.030252918148125,0.5671095240610631,53.99223434524376,8.310445961402484,-10.743427,-0.027299134
39,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,0.5,1.0,9.40311122781796,0.6124819516288524,49.077004605627224,7.381146968968051,-11.396194,0.018950842
40,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,1.0,1.0,9.021185388770533,0.6313842910406154,49.362402186141175,7.9619214280171855,-10.070559,0.084971674
41,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,1.5,1.0,9.266343363954267,0.6583622651968671,50.140062311849015,8.304673584424156,-8.350852,0.13675228
42,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,2.0,1.0,8.925229500493575,0.6135685393133989,46.24333596758846,7.884544072446725,-6.4915023,0.22298129
43,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,2.5,1.0,8.819130882492143,0.5833076200744161,46.4423882845355,7.763775583785327,-4.816135,0.2875687
44,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-2.5,0.5,6.330783748516982,0.533510002855764,42.746473950588936,8.621404533180359,-5.150341,-0.27529278
45,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-2.0,0.5,7.040098937754895,0.5659796281526936,45.4362853224082,8.252864599143196,-6.0604763,-0.2435525
46,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-1.5,0.5,7.225528202272667,0.5906002326821631,44.83805185692511,8.116376475333855,-7.501421,-0.19132517
47,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-1.0,0.5,6.700479766080942,0.5792220223159482,45.90584162661695,8.39500878358508,-8.667781,-0.13977945
48,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-0.5,0.5,5.841275337610629,0.5361208895238385,46.098802802078154,8.9323024664179,-10.436457,-0.08569706
49,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,0.0,0.5,4.695466895959203,0.5023408520187969,43.54024911450953,8.237270885081188,-12.098394,-0.020012783
50,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,0.5,0.5,6.176168207772964,0.5525839338699592,47.62615838633553,7.4061892516879055,-12.364626,0.022723574
51,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,1.0,0.5,6.224225635160845,0.5888157124327493,44.98010776041775,7.4229611671483005,-10.837858,0.086068995
52,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,1.5,0.5,6.1791477451739,0.5941700526246838,41.7610399007986,7.83171815219472,-8.864742,0.13645354
53,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,2.0,0.5,5.936169433867867,0.5598768266473111,46.298479047790494,7.988911095905513,-6.8658514,0.2060755
54,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,2.5,0.5,5.8094918466240735,0.5287047169798762,46.066011687519286,7.6424753017409435,-5.3305874,0.2636809
55,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-2.5,0.0,4.799792497153952,0.5214136916698545,43.11570491306591,8.11486832144743,-4.942465,-0.2779672
56,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-2.0,0.0,4.060360405222596,0.5032814007506112,43.50398828774152,7.956718188791465,-5.80454,-0.24081488
57,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-1.5,0.0,4.1554721642697245,0.5283542822357139,44.22997548142312,7.901995768976765,-7.1433153,-0.19941264
58,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-1.0,0.0,3.5450895152675876,0.5190863889023922,42.93740164455079,8.44021724124631,-8.760882,-0.1535124
59,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-0.5,0.0,2.6280245239527353,0.47833194946496294,39.51489943967963,8.832165012660777,-11.153166,-0.08784625
60,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,0.0,0.0,1.3183567009836707,0.4336485630268716,37.17663473079001,8.1720303089263,-13.087969,-0.017776472
61,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,0.5,0.0,2.9682681911613926,0.4959203015464628,37.88198316585953,7.434120726180549,-12.725941,0.030003052
62,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,1.0,0.0,3.13086556810892,0.5324737920589004,43.67755578371522,7.412353736479601,-10.70306,0.09491063
63,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,1.5,0.0,3.1618948437329912,0.5343377589378074,41.576731592831855,7.484056797815974,-8.711863,0.1442191
