,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq,ssr,ms,smr,lri
0,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",0,-1,2,13.41234585142708,0.726748010142075,50.72962604273794,6.099408803300047,-7.984289,-0.11215538
1,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",5,-1,2,13.113536879834733,0.7180511384547217,50.127401355863135,5.895374584417769,-7.686881,-0.12079571
2,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",10,-1,2,12.764994970496325,0.7086347617959421,50.69115456176634,5.666582762913982,-7.3228354,-0.12787114
3,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",15,-1,2,12.93911631945392,0.729465365886836,50.73883099559856,5.390838918050207,-6.9418902,-0.1334746
4,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",20,-1,2,13.298863607633162,0.7577031768388331,50.70351087229444,5.198390849995837,-6.5576878,-0.13674867
5,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",25,-1,2,13.594486521595833,0.7747817722390509,49.86040673402624,4.793285811168207,-6.373902,-0.1439267
6,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",30,-1,2,13.651559154379747,0.7724959835190217,49.359592637165974,4.3450803211233575,-6.244367,-0.15968351
7,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",35,-1,2,13.626525047354939,0.7578357437205911,50.003279498501314,4.115245618209344,-6.1493506,-0.18486054
8,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",40,-1,2,13.432070921476345,0.7357495306032253,49.69317276854244,4.847759398140668,-6.423112,-0.21663997
9,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",45,-1,2,13.272810359068036,0.7135047581923291,48.70399269632189,5.596067556118811,-6.702127,-0.24882011
10,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",50,-1,2,13.2016840785158,0.6951657979056416,47.700966444227866,6.408575382895907,-7.016824,-0.2775368
11,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",55,-1,2,12.963504109408415,0.6740039678732529,47.54574141894315,7.237984302900741,-7.351427,-0.2987627
12,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",60,-1,2,13.742034320120435,0.6917030924171433,48.90229721132678,8.04686134727782,-7.650556,-0.31755212
13,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",65,-1,2,14.496548901506042,0.7160831299839613,50.132690549332324,8.65193037810061,-7.877238,-0.3270028
14,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",70,-1,2,15.12083559071014,0.738045508930494,50.71075402676276,8.6933938556959,-7.948223,-0.31940228
15,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",75,-1,2,15.022144202040923,0.742115594031815,50.01318281476572,8.23674918083098,-8.157355,-0.30948415
16,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",80,-1,2,14.719357733337954,0.7400244955132312,49.87611966475992,7.7144182312160385,-8.29042,-0.2985568
17,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",85,-1,2,14.23016472987415,0.7262824168175761,52.8261517883589,7.897766021931665,-8.620448,-0.2816981
18,Skelpolu - Together Alone,BRIR,rotational,"(2, 0)",90,-1,2,13.694003818192577,0.7111685245051947,50.345596564868316,7.9952950566278576,-8.848848,-0.26377678
